Happy,Angry,Surprise,Sad,Fear,emotion
0.0,0.0,0.0,0.0,0.0,happy
0.1,0.035,0.065,0.465,0.335,sad
0.6,0.0,0.0,0.2,0.2,happy
0.04,0.0,0.23,0.115,0.115,surprise
0.195,0.03,0.06,0.195,0.52,fear
0.08,0.0,0.045,0.53,0.35,sad
0.0,0.0,0.0,0.33,0.67,fear
0.0,0.0,0.0,0.0,1.0,fear
0.0,0.33,0.33,0.0,0.33,angry
0.0,0.0,0.25,0.25,0.5,fear
0.08,0.0,0.08,0.31,0.54,fear
0.125,0.0,0.085,0.54,0.25,sad
0.03,0.03,0.09,0.245,0.605,fear
0.0,0.0,0.0,0.25,0.75,fear
0.09,0.09,0.14,0.23,0.45,fear
0.0,0.0,0.5,0.0,0.5,surprise
0.33,0.0,0.33,0.0,0.33,happy
0.04,0.06,0.15500000000000003,0.22,0.52,fear
0.1,0.14,0.24,0.14,0.38,fear
0.135,0.0,0.12,0.12,0.635,fear
0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,fear
0.0,0.0,0.6,0.0,0.4,surprise
0.016666666666666666,0.03333333333333333,0.17333333333333334,0.3866666666666667,0.3866666666666667,sad
0.08,0.1,0.245,0.1,0.48000000000000004,fear
0.33,0.0,0.0,0.33,0.33,happy
0.145,0.0,0.1,0.4,0.355,sad
0.07666666666666667,0.13,0.18000000000000002,0.25333333333333335,0.3566666666666667,fear
0.0,0.0,0.12,0.5,0.38,sad
0.03,0.03,0.09,0.21,0.64,fear
0.08499999999999999,0.025,0.04,0.1975,0.6525,fear
0.065,0.025,0.21500000000000002,0.165,0.53,fear
0.0,0.06,0.06,0.61,0.28,sad
0.19,0.0,0.19,0.38,0.25,sad
0.0,0.0,0.17,0.5,0.33,sad
0.0,0.0,0.07,0.0,0.93,fear
0.04,0.04,0.15,0.35,0.42,fear
0.0,0.0,0.5,0.5,0.0,surprise
0.0,0.17,0.17,0.33,0.33,sad
0.15,0.05,0.08,0.23500000000000001,0.48,fear
0.185,0.03,0.155,0.155,0.47000000000000003,fear
0.085,0.0,0.0,0.165,0.75,fear
0.09,0.0,0.12,0.26,0.53,fear
0.04,0.035,0.075,0.355,0.495,fear
0.0,0.025,0.25,0.35,0.375,fear
0.16,0.05,0.065,0.21000000000000002,0.515,fear
